GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
0100000US,,United States,4231201,Motor vehicle supplies and new parts merchant wholesalers- warehouse distributors,00,Wholesale Trade,808,8 largest firms,2012,391,26893248,37.9,672086,176333,13659
0100000US,,United States,4231201,Motor vehicle supplies and new parts merchant wholesalers- warehouse distributors,00,Wholesale Trade,820,20 largest firms,2012,606,37729988,53.2,1117510,278215,20018
0100000US,,United States,4231201,Motor vehicle supplies and new parts merchant wholesalers- warehouse distributors,00,Wholesale Trade,850,50 largest firms,2012,1063,48335660,68.2,1546691,383853,28826
0100000US,,United States,4231202,Motor vehicle supplies and new parts merchant wholesalers- jobbers,00,Wholesale Trade,001,All firms,2012,8476,78839030,100.0,5324205,1317756,118095
0100000US,,United States,4231202,Motor vehicle supplies and new parts merchant wholesalers- jobbers,00,Wholesale Trade,804,4 largest firms,2012,60,19286755,24.5,445429,114291,5920
0100000US,,United States,4231202,Motor vehicle supplies and new parts merchant wholesalers- jobbers,00,Wholesale Trade,808,8 largest firms,2012,219,27795110,35.3,931857,234240,14613
0100000US,,United States,4231202,Motor vehicle supplies and new parts merchant wholesalers- jobbers,00,Wholesale Trade,820,20 largest firms,2012,639,36881268,46.8,1304193,326478,22414
0100000US,,United States,4231202,Motor vehicle supplies and new parts merchant wholesalers- jobbers,00,Wholesale Trade,850,50 largest firms,2012,1072,47219742,59.9,1861583,472434,33018
0100000US,,United States,4231203,Petroleum products marketing equipment merchant wholesalers,00,Wholesale Trade,001,All firms,2012,321,1482660,100.0,192924,45537,3637
0100000US,,United States,4231203,Petroleum products marketing equipment merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2012,18,299576,20.2,13508,3293,217
0100000US,,United States,4231203,Petroleum products marketing equipment merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2012,40,519179,35.0,39856,9721,637
0100000US,,United States,4231203,Petroleum products marketing equipment merchant wholesalers,00,Wholesale Trade,820,20 largest firms,2012,70,788638,53.2,74355,17809,1209
0100000US,,United States,4231203,Petroleum products marketing equipment merchant wholesalers,00,Wholesale Trade,850,50 largest firms,2012,108,1120597,75.6,128036,30219,2205
0100000US,,United States,42313,Tire and tube merchant wholesalers,00,Wholesale Trade,001,All firms,2012,2535,33548560,100.0,1646608,406609,35581
0100000US,,United States,42313,Tire and tube merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2012,274,8309027,24.8,235430,59256,4878
0100000US,,United States,42313,Tire and tube merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2012,506,12931707,38.5,382361,96255,7965
0100000US,,United States,42313,Tire and tube merchant wholesalers,00,Wholesale Trade,820,20 largest firms,2012,702,19213860,57.3,624674,156821,12459
0100000US,,United States,42313,Tire and tube merchant wholesalers,00,Wholesale Trade,850,50 largest firms,2012,894,23763148,70.8,870582,218927,17308
0100000US,,United States,423130,Tire and tube merchant wholesalers,00,Wholesale Trade,001,All firms,2012,2535,33548560,100.0,1646608,406609,35581
0100000US,,United States,423130,Tire and tube merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2012,274,8309027,24.8,235430,59256,4878
0100000US,,United States,423130,Tire and tube merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2012,506,12931707,38.5,382361,96255,7965
0100000US,,United States,423130,Tire and tube merchant wholesalers,00,Wholesale Trade,820,20 largest firms,2012,702,19213860,57.3,624674,156821,12459
0100000US,,United States,423130,Tire and tube merchant wholesalers,00,Wholesale Trade,850,50 largest firms,2012,894,23763148,70.8,870582,218927,17308
0100000US,,United States,42314,Motor vehicle parts (used) merchant wholesalers,00,Wholesale Trade,001,All firms,2012,1981,4832537,100.0,626892,154183,18342
0100000US,,United States,42314,Motor vehicle parts (used) merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2012,88,1900573,39.3,168086,41983,3894
0100000US,,United States,42314,Motor vehicle parts (used) merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2012,98,2128618,44.0,184493,46082,4268
