GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
0100000US,,United States,,2213,"Water, sewage and other systems",,850,50 largest firms,2012,1144,9251139,75.6,1602646,451623,25810
0100000US,,United States,,22131,Water supply and irrigation systems,,001,All firms,2012,4039,9437810,100.0,1841726,501559,36352
0100000US,,United States,,22131,Water supply and irrigation systems,,804,4 largest firms,2012,505,4707791,49.9,785346,242047,12073
0100000US,,United States,,22131,Water supply and irrigation systems,,808,8 largest firms,2012,556,5678732,60.2,922149,277058,14024
0100000US,,United States,,22131,Water supply and irrigation systems,,820,20 largest firms,2012,673,6626360,70.2,1177991,340559,18070
0100000US,,United States,,22131,Water supply and irrigation systems,,850,50 largest firms,2012,786,7177986,76.1,1325296,376761,21156
0100000US,,United States,,221310,Water supply and irrigation systems,,001,All firms,2012,4039,9437810,100.0,1841726,501559,36352
0100000US,,United States,,221310,Water supply and irrigation systems,,804,4 largest firms,2012,505,4707791,49.9,785346,242047,12073
0100000US,,United States,,221310,Water supply and irrigation systems,,808,8 largest firms,2012,556,5678732,60.2,922149,277058,14024
0100000US,,United States,,221310,Water supply and irrigation systems,,820,20 largest firms,2012,673,6626360,70.2,1177991,340559,18070
0100000US,,United States,,221310,Water supply and irrigation systems,,850,50 largest firms,2012,786,7177986,76.1,1325296,376761,21156
0100000US,,United States,,22132,Sewage treatment facilities,,001,All firms,2012,712,1377034,100.0,301017,74468,6849
0100000US,,United States,,22132,Sewage treatment facilities,,804,4 largest firms,2012,294,757035,55.0,165482,41208,3558
0100000US,,United States,,22132,Sewage treatment facilities,,808,8 largest firms,2012,302,942050,68.4,182792,45558,3868
0100000US,,United States,,22132,Sewage treatment facilities,,820,20 largest firms,2012,332,1095117,79.5,215070,53237,4509
0100000US,,United States,,22132,Sewage treatment facilities,,850,50 largest firms,2012,375,1208651,87.8,248870,61930,5339
0100000US,,United States,,221320,Sewage treatment facilities,,001,All firms,2012,712,1377034,100.0,301017,74468,6849
0100000US,,United States,,221320,Sewage treatment facilities,,804,4 largest firms,2012,294,757035,55.0,165482,41208,3558
0100000US,,United States,,221320,Sewage treatment facilities,,808,8 largest firms,2012,302,942050,68.4,182792,45558,3868
0100000US,,United States,,221320,Sewage treatment facilities,,820,20 largest firms,2012,332,1095117,79.5,215070,53237,4509
0100000US,,United States,,221320,Sewage treatment facilities,,850,50 largest firms,2012,375,1208651,87.8,248870,61930,5339
0100000US,,United States,,22133,Steam and air-conditioning supply,,001,All firms,2012,95,1428426,100.0,161608,46526,2086
0100000US,,United States,,22133,Steam and air-conditioning supply,,804,4 largest firms,2012,54,861953,60.3,90556,27671,1093
0100000US,,United States,,22133,Steam and air-conditioning supply,,808,8 largest firms,2012,64,1126692,78.9,121717,35660,1446
0100000US,,United States,,22133,Steam and air-conditioning supply,,820,20 largest firms,2012,81,1385399,97.0,153823,44546,1924
0100000US,,United States,,22133,Steam and air-conditioning supply,,850,50 largest firms,2012,95,1428426,100.0,161608,46526,2086
0100000US,,United States,,221330,Steam and air-conditioning supply,,001,All firms,2012,95,1428426,100.0,161608,46526,2086
0100000US,,United States,,221330,Steam and air-conditioning supply,,804,4 largest firms,2012,54,861953,60.3,90556,27671,1093
0100000US,,United States,,221330,Steam and air-conditioning supply,,808,8 largest firms,2012,64,1126692,78.9,121717,35660,1446
0100000US,,United States,,221330,Steam and air-conditioning supply,,820,20 largest firms,2012,81,1385399,97.0,153823,44546,1924
0100000US,,United States,,221330,Steam and air-conditioning supply,,850,50 largest firms,2012,95,1428426,100.0,161608,46526,2086
